item_id,order_id,product_id,quantity,unit_price,category
I000000203,O0000072,P0249,6,327.38,beauty
I000005129,O0001736,P0304,4,83.7,books
I000000341,O0000119,P0462,6,76.98,clothing
I000002559,O0000863,P0050,6,178.47,toys
I000006173,O_GHOST_32686,P0262,5,194.19,food_drink
I000006039,O_GHOST_24447,P0375,2,267.36,home_garden
I000005137,O0001739,P0114,3,435.38,clothing
I000000034,O0000014,P0318,5,341.4,sports
I000001600,O0000544,P0154,8,353.84,electronics
I000005626,O0001894,P0241,5,317.44,toys
I000001803,O0000613,P0154,9,198.63,sports
I000002295,O0000779,P0259,8,60.71,home_garden
I000003895,O0001329,P0195,8,175.68,beauty
I000004573,O0001555,P0063,5,144.2,beauty
I000002868,O0000964,P0264,7,226.3,books
I000005589,O0001883,P0389,3,447.12,electronics
I000002311,O0000784,P0192,4,436.34,home_garden
I000005300,O0001793,P0122,6,204.22,beauty
I000005560,O0001875,P0205,6,391.98,beauty
I000006137,O_GHOST_40365,P0350,3,208.26,home_garden
I000000506,O0000178,P0201,8,361.12,food_drink
I000001118,O0000381,P0203,9,321.08,beauty
I000004959,O0001682,P0352,7,205.98,electronics
I000005292,O0001790,P0185,8,498.73,home_garden
I000003263,O0001109,P0391,2,198.99,electronics
I000004891,O0001658,P0201,6,46.1,electronics
I000006100,O_GHOST_20528,P0137,9,430.62,food_drink
I000001947,O0000660,P0349,9,422.29,home_garden
I000005977,O_GHOST_10330,P0407,3,454.81,electronics
I000006177,O_GHOST_87176,P0406,7,319.17,books
I000004042,O0001380,P0094,7,490.43,electronics
I000002293,O0000779,P0450,9,128.36,home_garden
I000000700,O0000244,P0277,8,60.14,sports
I000002104,O0000709,P0087,8,183.53,beauty
I000004917,O0001665,P0073,9,68.69,home_garden
I000003876,O0001322,P0475,4,81.65,toys
I000000397,O0000141,P0350,6,189.84,home_garden
I000001194,O0000406,P0001,4,138.02,electronics
I000006083,O_GHOST_41094,P0380,1,406.01,beauty
I000005698,O0001921,P0410,9,331.74,electronics
I000004030,O0001377,P0355,3,203.68,electronics
I000004627,O0001571,P0269,7,77.3,toys
I000005993,O_GHOST_59694,P0339,2,177.22,toys
I000001938,O0000657,P0481,7,106.71,electronics
I000001880,O0000637,P0123,3,78.03,books
I000006057,O_GHOST_01860,P0015,6,269.9,beauty
I000000860,O0000298,P0131,5,384.58,books
I000005921,O0001983,P0013,7,469.74,sports
I000005821,O0001955,P0124,8,190.27,clothing
I000005360,O0001814,P0137,5,358.5,electronics
I000002124,O0000716,P0056,2,499.75,beauty
I000005726,O0001929,P0261,2,429.31,home_garden
I000002937,O0000989,P0088,4,267.48,books
I000005845,O0001960,P0092,5,454.88,food_drink
I000000305,O0000106,P0321,7,251.01,electronics
I000003340,O0001132,P0221,7,215.62,food_drink
I000006176,O_GHOST_69362,P0181,7,316.08,toys
I000003319,O0001126,P0236,1,128.47,toys
I000003048,O0001031,P0170,3,391.15,toys
I000004017,O0001371,P0033,4,96.72,toys
I000001704,O0000579,P0251,2,85.75,electronics
I000005579,O0001879,P0316,9,189.83,toys
I000003529,O0001200,P0470,2,97.14,sports
I000002062,O0000696,P0118,9,371.71,sports
I000005100,O0001728,P0453,1,294.55,beauty
I000000883,O0000305,P0286,1,182.58,food_drink
I000006086,O_GHOST_48616,P0363,1,259.89,electronics
I000005576,O0001879,P0447,5,32.58,electronics
I000005536,O0001867,P0063,4,412.38,home_garden
I000006019,O_GHOST_12581,P0356,2,238.96,electronics
I000003877,O0001323,P0298,2,1.45,home_garden
I000006207,O_GHOST_95701,P0341,7,175.82,sports
I000004490,O0001526,P0060,6,277.76,food_drink
I000000764,O0000266,P0192,7,74.71,electronics
I000002651,O0000894,P0446,6,401.17,electronics
I000004278,O0001461,P0484,1,453.97,sports
I000005357,O0001814,P0022,6,262.27,home_garden
I000001295,O0000438,P0206,1,41.44,food_drink
I000003810,O0001295,P0312,8,8.5,food_drink
I000004477,O0001521,P0357,1,270.93,beauty
I000000228,O0000081,P0255,9,239.98,beauty
I000003737,O0001270,P0204,4,413.31,electronics
I000006091,O_GHOST_13927,P0409,3,6.76,toys
I000005844,O0001960,P0170,2,422.48,clothing
I000005388,O0001823,P0361,9,483.61,beauty
I000004970,O0001686,P0238,2,365.27,toys
I000004361,O0001487,P0126,5,241.81,beauty
I000004520,O0001535,P0279,7,472.07,electronics
I000003916,O0001336,P0462,1,256.7,toys
I000003326,O0001128,P0117,1,314.06,beauty
I000004757,O0001615,P0414,6,341.3,sports
I000004001,O0001367,P0281,2,62.32,toys
I000004083,O0001391,P0441,5,353.94,electronics
I000001815,O0000617,P0352,2,104.22,electronics
I000003941,O0001348,P0374,5,133.91,toys
I000000211,O0000076,P0420,7,266.02,food_drink
I000002923,O0000984,P0136,3,398.74,electronics
I000003026,O0001021,P0337,9,160.9,clothing
I000003987,O0001361,P0242,3,379.28,clothing
I000005961,O0001997,P0499,8,136.2,toys
I000005562,O0001875,P0087,6,107.06,clothing
I000002876,O0000968,P0399,1,357.27,clothing
I000004047,O0001382,P0305,6,390.77,electronics
I000001081,O0000371,P0312,2,433.32,food_drink
I000001650,O0000560,P0438,1,384.63,sports
I000005564,O0001876,P0389,5,244.31,food_drink
I000001421,O0000482,P0233,9,422.34,electronics
I000001045,O0000359,P0106,6,1.21,electronics
I000001079,O0000370,P0041,7,145.49,beauty
I000001649,O0000560,P0152,1,418.97,clothing
I000002077,O0000700,P0174,6,471.9,toys
I000002821,O0000948,P0191,6,116.99,sports
I000000572,O0000201,P0056,8,431.07,electronics
I000004830,O0001639,P0296,8,98.61,clothing
I000004768,O0001619,P0137,8,226.46,clothing
I000002832,O0000950,P0016,5,360.14,clothing
I000001345,O0000455,P0178,4,396.74,beauty
I000005067,O0001717,P0039,9,97.55,sports
I000004957,O0001681,P0201,1,226.14,books
I000005494,O0001854,P0485,4,68.07,sports
I000003450,O0001165,P0413,2,279.57,beauty
I000006015,O_GHOST_43032,P0341,6,351.48,electronics
I000005943,O0001991,P0031,7,323.9,home_garden
I000001020,O0000350,P0056,7,464.48,electronics
I000002040,O0000688,P0208,7,374.01,beauty
I000004983,O0001690,P0189,7,169.02,electronics
I000001878,O0000637,P0324,9,32.63,beauty
I000006135,O_GHOST_34663,P0300,1,458.99,books
I000005485,O0001850,P0489,9,495.35,toys
I000005761,O0001937,P0176,4,187.66,toys
I000001834,O0000623,P0104,2,485.88,toys
I000005064,O0001717,P0357,6,233.86,food_drink
I000002464,O0000833,P0132,8,216.58,food_drink
I000000251,O0000088,P0112,5,289.95,beauty
I000005497,O0001854,P0440,5,159.72,toys
I000004610,O0001567,P0063,6,189.08,home_garden
I000001116,O0000380,P0113,4,240.07,electronics
I000004570,O0001554,P0243,7,401.65,clothing
I000005055,O0001715,P0219,8,75.53,beauty
I000006050,O_GHOST_55603,P0366,9,144.58,beauty
I000000172,O0000064,P0253,8,264.85,books
I000002432,O0000824,P0149,1,348.73,clothing
I000003603,O0001224,P0473,9,80.47,toys
I000004982,O0001690,P0387,8,469.88,toys
I000000339,O0000119,P0491,4,281.41,food_drink
I000005688,O0001917,P0220,5,331.25,books
I000000246,O0000087,P0262,5,283.68,toys
I000002415,O0000820,P0218,7,288.06,books
I000004440,O0001508,P0146,7,160.6,food_drink
I000002170,O0000734,P0116,5,93.53,electronics
I000005618,O0001892,P0251,1,201.0,beauty
I000006110,O_GHOST_10935,P0394,1,37.06,home_garden
I000003265,O0001110,P0389,7,290.98,home_garden
I000006150,O_GHOST_99558,P0477,7,443.81,food_drink
I000003335,O0001130,P0379,1,309.26,toys
I000005534,O0001867,P0035,8,350.02,home_garden
I000000530,O0000184,P0353,9,357.13,food_drink
I000000538,O0000187,P0328,4,126.56,home_garden
I000000618,O0000216,P0014,9,373.37,food_drink
I000006187,O_GHOST_77634,P0245,1,455.66,food_drink
I000003596,O0001222,P0082,1,256.98,food_drink
I000000985,O0000337,P0069,8,100.27,home_garden
I000003940,O0001348,P0123,2,141.79,books
I000005092,O0001727,P0392,3,304.08,sports
I000002484,O0000840,P0234,3,17.48,clothing
I000003264,O0001109,P0082,5,488.6,electronics
I000005685,O0001917,P0224,5,494.35,toys
I000005508,O0001857,P0366,2,292.7,books
I000001727,O0000588,P0224,6,75.85,food_drink
I000001005,O0000345,P0424,4,125.98,home_garden
I000000504,O0000177,P0320,3,319.77,food_drink
I000006203,O_GHOST_29748,P0473,4,436.16,home_garden
I000005617,O0001891,P0016,1,380.33,books
I000002491,O0000842,P0186,4,105.8,sports
I000004580,O0001557,P0119,7,221.3,sports
I000006010,O_GHOST_76918,P0455,2,323.98,toys
I000004238,O0001448,P0220,2,210.01,food_drink
I000000961,O0000326,P0005,7,413.46,food_drink
I000001694,O0000574,P0005,7,223.34,food_drink
I000005230,O0001770,P0240,1,428.99,toys
I000006151,O_GHOST_42663,P0106,9,328.69,toys
I000004883,O0001655,P0472,3,464.6,books
I000000200,O0000071,P0356,5,28.74,sports
I000003851,O0001311,P0101,7,49.51,toys
I000000070,O0000029,P0389,3,5.74,home_garden
I000003892,O0001328,P0441,7,74.04,toys
I000002860,O0000962,P0210,3,429.93,food_drink
I000003942,O0001348,P0370,9,217.36,beauty
I000006189,O_GHOST_04143,P0413,3,58.09,electronics
I000000899,O0000309,P0063,1,314.97,sports
I000002084,O0000703,P0322,9,57.63,beauty
